info face="Bitwise" size=64 bold=0 italic=0 charset="" unicode=1 stretchH=100 smooth=1 aa=1 padding=0,0,0,0 spacing=1,1 outline=1
common lineHeight=64 base=49 scaleW=512 scaleH=512 pages=1 packed=0 alphaChnl=1 redChnl=0 greenChnl=0 blueChnl=0
page id=0 file="bitwise_0.tga"
chars count=100
char id=32   x=502   y=0     width=5     height=3     xoffset=-2    yoffset=62    xadvance=28    page=0  chnl=15
char id=112  x=265   y=198   width=31    height=47    xoffset=1     yoffset=17    xadvance=33    page=0  chnl=15
char id=113  x=297   y=198   width=31    height=47    xoffset=1     yoffset=17    xadvance=33    page=0  chnl=15
char id=114  x=0     y=297   width=27    height=33    xoffset=1     yoffset=17    xadvance=27    page=0  chnl=15
char id=115  x=469   y=234   width=31    height=33    xoffset=1     yoffset=17    xadvance=33    page=0  chnl=15
char id=116  x=435   y=193   width=21    height=42    xoffset=0     yoffset=8     xadvance=22    page=0  chnl=15
char id=117  x=272   y=246   width=32    height=33    xoffset=1     yoffset=17    xadvance=34    page=0  chnl=15
char id=118  x=204   y=250   width=34    height=33    xoffset=-1    yoffset=17    xadvance=32    page=0  chnl=15
char id=119  x=127   y=251   width=41    height=33    xoffset=1     yoffset=17    xadvance=43    page=0  chnl=15
char id=120  x=305   y=246   width=32    height=33    xoffset=0     yoffset=17    xadvance=32    page=0  chnl=15
char id=121  x=200   y=202   width=32    height=47    xoffset=1     yoffset=17    xadvance=34    page=0  chnl=15
char id=122  x=338   y=244   width=32    height=33    xoffset=0     yoffset=17    xadvance=32    page=0  chnl=15
char id=123  x=9     y=0     width=26    height=61    xoffset=3     yoffset=2     xadvance=32    page=0  chnl=15
char id=124  x=0     y=0     width=8     height=66    xoffset=12    yoffset=-1    xadvance=32    page=0  chnl=15
char id=125  x=36    y=0     width=25    height=61    xoffset=3     yoffset=2     xadvance=32    page=0  chnl=15
char id=126  x=210   y=284   width=45    height=12    xoffset=4     yoffset=24    xadvance=53    page=0  chnl=15
char id=162  x=402   y=193   width=32    height=43    xoffset=6     yoffset=12    xadvance=44    page=0  chnl=15
char id=163  x=423   y=145   width=35    height=47    xoffset=-1    yoffset=3     xadvance=44    page=0  chnl=15
char id=169  x=300   y=0     width=50    height=48    xoffset=1     yoffset=2     xadvance=53    page=0  chnl=15
char id=174  x=351   y=0     width=50    height=48    xoffset=1     yoffset=2     xadvance=53    page=0  chnl=15
char id=224  x=168   y=285   width=41    height=17    xoffset=-1    yoffset=33    xadvance=40    page=0  chnl=15
